timestamp,ack,rssi,snr,fc_unix_time_usec,fc_boot_time_ms,gps_lat,gps_lon,gps_alt,gps_speed,gps_time,abs_pressure1,temperature1,altitude1_empty,abs_pressure2,temperature2,altitude1,sd_status,actuator_status,logging_active,write_rate,space_left,pix_unix_time_usec,pix_boot_time_ms,vibe_x,vibe_y,vibe_z,clip_x,clip_y,clip_z,gps_bearing,gps_bearing_magnetic,gps_bearing_true,gps_bearing_ground_speed,gps_bearing_ground_speed_magnetic,gps_bearing_ground_speed_true,photodiode_value1,photodiode_value2,fc_battery_voltage,led_battery_voltage
22:10:41.580,0,-26,12,,337644,45.863163,-73.592896,54.87,1.35,1751497180,,,,100679.3,34.65,53.9,1,0,0,0,0,,11742,,,,,,,0.0,274.0,,,,,24,17,16.28,12.6
22:10:43.468,0,-28,11,,339506,45.863163,-73.592896,55.15,0.81,1751497182,,,,100676.98,34.68,54.09,1,0,0,0,0,,11742,,,,,,,0.0,277.0,,,,,23,14,16.28,12.6
22:10:45.320,0,-31,12,,341367,45.863163,-73.592896,55.33,0.97,1751497184,,,,100675.9,34.71,54.18,1,0,0,0,0,,11742,,,,,,,0.0,272.0,,,,,25,16,16.28,12.6
22:10:47.163,0,-28,11,,343229,45.863163,-73.592896,55.44,2.32,1751497186,,,,100680.59,34.75,53.79,1,0,0,0,0,,11742,,,,,,,0.0,272.0,,,,,22,15,16.28,12.6
22:10:49.024,0,-31,12,,345090,45.863163,-73.592896,55.64,3.66,1751497187,,,,100678.56,34.79,53.96,1,0,0,0,0,,11742,,,,,,,0.0,266.0,,,,,25,15,16.29,12.6
22:10:50.885,0,-25,12,,346951,45.863163,-73.592896,55.56,4.46,1751497189,,,,100676.98,34.81,54.09,1,0,0,0,0,,11742,,,,,,,0.0,244.0,,,,,24,16,16.28,12.6
22:10:52.749,0,-21,12,,348812,45.863163,-73.592896,55.63,5.56,1751497191,,,,100675.14,34.84,54.25,1,0,0,0,0,,11742,,,,,,,0.0,239.0,,,,,28,19,16.28,12.6
22:10:54.596,0,-25,12,,350674,45.863163,-73.592903,55.97,6.27,1751497193,,,,100677.11,34.88,54.08,1,0,0,0,0,,11742,,,,,,,0.0,261.0,,,,,25,15,16.28,12.6
22:10:56.471,0,-43,12,,352535,45.863163,-73.592903,56.15,6.97,1751497195,,,,100676.28,34.92,54.15,1,0,0,0,0,,11742,,,,,,,0.0,262.0,,,,,24,14,16.28,12.6
22:10:58.330,0,-36,11,,354396,45.863163,-73.592896,56.14,7.82,1751497197,,,,100672.47,34.95,54.47,1,0,0,0,0,,11742,,,,,,,0.0,242.0,,,,,24,14,16.28,12.6
22:11:00.185,0,-26,11,,356257,45.863163,-73.592896,56.6,8.38,1751497199,,,,100674.28,34.98,54.32,1,0,0,0,0,,11742,,,,,,,0.0,244.0,,,,,23,22,16.28,12.6
22:11:02.052,0,-27,12,,358118,45.863163,-73.592896,56.84,8.88,1751497200,,,,100674.35,35.02,54.31,1,0,0,0,0,,11742,,,,,,,0.0,242.0,,,,,30,14,16.28,12.6
22:11:03.915,0,-28,12,,359979,45.863155,-73.592903,57.39,9.16,1751497202,,,,100670.76,35.05,54.61,1,0,0,0,0,,11742,,,,,,,0.0,241.0,,,,,22,17,16.28,12.6
22:11:05.775,0,-29,10,,361840,45.863148,-73.592911,57.31,9.51,1751497204,,,,100671.16,35.07,54.58,1,0,0,0,0,,11742,,,,,,,0.0,242.0,,,,,26,17,16.28,12.6
22:11:07.636,0,-23,11,,363701,45.86314,-73.592918,57.35,9.82,1751497206,,,,100672.62,35.12,54.46,1,0,0,0,0,,11742,,,,,,,0.0,242.0,,,,,26,17,16.28,12.6
22:11:09.497,0,-24,12,,365562,45.863144,-73.592918,57.33,10.09,1751497208,,,,100671.02,35.14,54.59,1,0,0,0,0,,11742,,,,,,,0.0,235.0,,,,,28,18,16.28,12.6
22:11:11.359,0,-22,12,,367424,45.863136,-73.592918,57.06,10.37,1751497210,,,,100673.33,35.18,54.4,1,0,0,0,0,,11742,,,,,,,0.0,218.0,,,,,26,18,16.28,12.6
22:11:13.221,0,-23,12,,369286,45.863136,-73.592918,56.57,11.12,1751497212,,,,100673.39,35.22,54.39,1,0,0,0,0,,11742,,,,,,,0.0,199.0,,,,,25,16,16.28,12.6
22:11:15.083,0,-36,12,,371148,45.863136,-73.592918,56.44,11.37,1751497213,,,,100673.29,35.25,54.4,1,0,0,0,0,,11742,,,,,,,0.0,196.0,,,,,20,17,16.28,12.6
22:11:16.945,0,-25,12,,373010,45.863132,-73.592918,56.55,12.05,1751497215,,,,100672.47,35.28,54.47,1,0,0,0,0,,11742,,,,,,,0.0,167.0,,,,,27,13,16.28,12.6
22:11:18.807,0,-23,11,,374872,45.863136,-73.592918,55.91,11.98,1751497217,,,,100671.87,35.31,54.52,1,0,0,0,0,,11742,,,,,,,0.0,149.0,,,,,25,16,16.28,12.6
22:11:20.669,0,-25,12,,376734,45.863144,-73.592918,54.87,13.08,1751497219,,,,100675.79,35.35,54.19,1,0,0,0,0,,11742,,,,,,,0.0,149.0,,,,,29,17,16.28,12.6
22:11:22.531,0,-28,12,,378596,45.863144,-73.592918,54.54,13.37,1751497221,,,,100673.54,35.38,54.38,1,0,0,0,0,,11742,,,,,,,0.0,153.0,,,,,24,15,16.28,12.6
22:11:24.393,0,-31,11,,380458,45.863148,-73.592911,54.95,13.03,1751497223,,,,100672.54,35.4,54.46,1,0,0,0,0,,11742,,,,,,,0.0,139.0,,,,,24,14,16.28,12.6
22:11:26.308,0,-28,12,,382320,45.863159,-73.592903,54.48,13.61,1751497225,,,,100674.72,35.44,54.28,1,0,0,0,0,,11742,,,,,,,0.0,57.0,,,,,23,19,16.28,12.6
22:11:28.108,0,-24,10,,384182,45.863155,-73.592903,53.96,14.81,1751497226,,,,100673.88,35.47,54.35,1,0,0,0,0,,11742,,,,,,,0.0,337.0,,,,,23,15,16.28,12.6
22:11:29.979,0,-22,12,,386044,45.863155,-73.592911,53.5,15.77,1751497228,,,,100672.28,35.5,54.48,1,0,0,0,0,,11742,,,,,,,0.0,355.0,,,,,23,15,16.28,12.6
22:11:31.905,0,-39,11,,387906,45.863152,-73.592911,53.5,16.79,1751497230,,,,100674.41,35.53,54.31,1,0,0,0,0,,11742,,,,,,,0.0,61.0,,,,,23,13,16.28,12.6
22:11:33.752,0,-15,12,,389768,45.863155,-73.592911,53.62,17.8,1751497232,,,,100671.84,35.56,54.52,1,0,0,0,0,,11742,,,,,,,0.0,132.0,,,,,22,15,16.28,12.6
22:11:35.625,0,-16,12,,391630,45.863159,-73.592903,54.05,18.47,1751497234,,,,100669.98,35.59,54.68,1,0,0,0,0,,11742,,,,,,,0.0,119.0,,,,,24,14,16.28,12.6
22:11:37.490,0,-22,12,,393492,45.863155,-73.592896,53.99,17.71,1751497236,,,,100667.12,35.62,54.92,1,0,0,0,0,,11742,,,,,,,0.0,57.0,,,,,22,14,16.28,12.6
22:11:39.348,0,-33,11,,395353,45.863163,-73.592896,54.19,18.9,1751497238,,,,100666.41,35.65,54.98,1,0,0,0,0,,11742,,,,,,,0.0,77.0,,,,,26,12,16.28,12.6
22:11:41.201,0,-16,12,,397214,45.863163,-73.592888,54.4,19.62,1751497240,,,,100667.93,35.69,54.85,1,0,0,0,0,,11742,,,,,,,0.0,348.0,,,,,23,16,16.28,12.6
22:11:43.072,0,-9,12,,399076,45.863174,-73.59288,54.9,19.99,1751497241,,,,100662.05,35.71,55.34,1,0,0,0,0,,11742,,,,,,,0.0,339.0,,,,,28,14,16.28,12.6
22:11:44.931,0,-11,11,,400938,45.863174,-73.59288,54.96,20.82,1751497243,,,,100662.95,35.74,55.27,1,0,0,0,0,,11742,,,,,,,0.0,330.0,,,,,25,12,16.28,12.6
22:11:46.779,0,-10,12,,402800,45.863163,-73.59288,54.82,21.09,1751497245,,,,100667.34,35.78,54.9,1,0,0,0,0,,11742,,,,,,,0.0,316.0,,,,,22,12,16.28,12.6
22:11:48.645,0,-8,12,,404662,45.863159,-73.59288,55.26,24.21,1751497247,,,,100665.23,35.81,55.08,1,0,0,0,0,,11742,,,,,,,0.0,48.0,,,,,28,13,16.28,12.6
22:11:50.501,0,-6,12,,406523,45.863163,-73.59288,55.42,24.02,1751497249,,,,100667.72,35.83,54.87,1,0,0,0,0,,11742,,,,,,,0.0,39.0,,,,,23,13,16.28,12.6
22:11:52.375,0,-9,12,,408384,45.863167,-73.59288,54.89,23.66,1751497251,,,,100669.54,35.88,54.71,1,0,0,0,0,,11742,,,,,,,0.0,34.0,,,,,23,13,16.28,12.6
22:11:54.235,0,-9,12,,410245,45.863171,-73.59288,55.51,23.96,1751497253,,,,100668.87,35.9,54.77,1,0,0,0,0,,11742,,,,,,,0.0,28.0,,,,,23,14,16.28,12.6
